1-vl-120.amb.yahoo.com 87.248.116.129
a13.f13.ymdb.bf1.yahoo.com 98.139.205.204
a13.f63.ymdb.gq1.yahoo.com 208.71.40.108
a13.f98.ymdb.bf1.yahoo.com 98.139.200.204
a14.f10.ymdb.gq1.yahoo.com 98.139.112.27
a14.f11.ymdb.bf1.yahoo.com 98.139.197.109
a14.f12.ymdb.gq1.yahoo.com 98.139.114.77
a14.f13.ymdb.bf1.yahoo.com 98.139.205.205
a14.f63.ymdb.gq1.yahoo.com 208.71.40.109
a14.f98.ymdb.bf1.yahoo.com 98.139.200.205
a15.dns.iny.yahoo.com 27.123.42.187
a15.f10.ymdb.gq1.yahoo.com 98.139.112.45
a15.f11.ymdb.bf1.yahoo.com 98.139.197.110
a15.f12.ymdb.gq1.yahoo.com 98.139.114.78
a15.f13.ymdb.bf1.yahoo.com 98.139.205.206
a15.f63.ymdb.gq1.yahoo.com 208.71.40.110
a15.f98.ymdb.bf1.yahoo.com 98.139.200.206
a16.f10.ymdb.gq1.yahoo.com 98.139.112.91
a16.f11.ymdb.bf1.yahoo.com 98.139.197.111
a16.f12.ymdb.gq1.yahoo.com 98.139.114.79
a16.f63.ymdb.gq1.yahoo.com 208.71.40.111
a16.f98.ymdb.bf1.yahoo.com 98.139.200.207
a17.f10.ymdb.gq1.yahoo.com 98.139.112.65
a17.f11.ymdb.bf1.yahoo.com 98.139.197.112
a17.f12.ymdb.gq1.yahoo.com 98.139.114.80
a17.f63.ymdb.gq1.yahoo.com 208.71.40.112
a17.f98.ymdb.bf1.yahoo.com 98.139.200.208
a18.f10.ymdb.gq1.yahoo.com 98.139.112.79
a18.f11.ymdb.bf1.yahoo.com 98.139.197.113
a18.f12.ymdb.gq1.yahoo.com 98.139.114.81
a18.f98.ymdb.bf1.yahoo.com 98.139.200.209
a19.f10.ymdb.gq1.yahoo.com 98.139.112.111
a19.f11.ymdb.bf1.yahoo.com 98.139.197.114
a19.f12.ymdb.gq1.yahoo.com 98.139.114.82
a19.f98.ymdb.bf1.yahoo.com 98.139.200.210
a2-new.dns.bfy.yahoo.com 216.115.97.168
a2-new.dns.dnx.yahoo.com 216.115.111.232
a2-new.dns.gqb.yahoo.com 66.196.67.73
a2-vm1.m14.ymdb.gq1.yahoo.com 98.137.27.85
a2.apac.yahoo.com 203.84.220.53
a2.dns.ams.yahoo.com 66.196.64.166
a2.dns.atz.yahoo.com 72.30.220.233
a2.dns.auz.yahoo.com 183.177.68.174
a2.dns.bfy.yahoo.com 216.115.97.169
a2.dns.bfz.yahoo.com 216.115.103.136
a2.dns.bgz.yahoo.com 212.82.116.181
a2.dns.che.yahoo.com 216.115.103.198
a2.dns.dax.yahoo.com 216.115.109.107
a2.dns.dce.yahoo.com 216.115.99.137
a2.dns.dcz.yahoo.com 216.115.104.178
a2.dns.dez.yahoo.com 66.196.66.41
a2.dns.dnx.yahoo.com 216.115.111.231
a2.dns.esz.yahoo.com 188.125.95.189
a2.dns.fry.yahoo.com 188.125.88.185
a2.dns.gqb.yahoo.com 66.196.67.72
a2.dns.gqz.yahoo.com 72.30.222.169
a2.dns.hkx.yahoo.com 124.108.77.176
a2.dns.hkz.yahoo.com 183.177.78.144
a2.dns.iny.yahoo.com 27.123.42.172
a2.f10.ymdb.gq1.yahoo.com 98.139.112.81
a2.f11.ymdb.bf1.yahoo.com 98.139.197.97
a2.f12.ymdb.gq1.yahoo.com 98.139.114.65
a2.f63.ymdb.gq1.yahoo.com 208.71.40.97
a2.f98.ymdb.bf1.yahoo.com 98.139.200.193
a2.m30.ymdb.in.yahoo.com 180.222.116.241
a2.t101.ymdb.gq1.yahoo.com 67.195.7.61
a20.f10.ymdb.gq1.yahoo.com 98.139.112.112
a20.f11.ymdb.bf1.yahoo.com 98.139.197.115
a20.f12.ymdb.gq1.yahoo.com 98.139.114.83
a20.f98.ymdb.bf1.yahoo.com 98.139.200.211
a21.f10.ymdb.gq1.yahoo.com 98.139.112.99
a21.f11.ymdb.bf1.yahoo.com 98.139.197.116
a21.f12.ymdb.gq1.yahoo.com 98.139.114.84
a21.f98.ymdb.bf1.yahoo.com 98.139.200.212
a22.f10.ymdb.gq1.yahoo.com 98.139.112.108
a22.f11.ymdb.bf1.yahoo.com 98.139.197.117
a22.f12.ymdb.gq1.yahoo.com 98.139.114.85
a22.f98.ymdb.bf1.yahoo.com 98.139.200.213
a23.f10.ymdb.gq1.yahoo.com 98.139.112.24
a23.f11.ymdb.bf1.yahoo.com 98.139.197.118
a23.f12.ymdb.gq1.yahoo.com 98.139.114.86
a23.f63.ymdb.gq1.yahoo.com 208.71.40.118
a23.f98.ymdb.bf1.yahoo.com 98.139.200.214
a24.f10.ymdb.gq1.yahoo.com 98.139.112.63
a24.f11.ymdb.bf1.yahoo.com 98.139.197.119
a24.f12.ymdb.gq1.yahoo.com 98.139.114.87
a24.f63.ymdb.gq1.yahoo.com 208.71.40.119
a24.f98.ymdb.bf1.yahoo.com 98.139.200.215
a25.f10.ymdb.gq1.yahoo.com 98.139.112.59
a25.f12.ymdb.gq1.yahoo.com 98.139.114.88
a25.f63.ymdb.gq1.yahoo.com 208.71.40.120
a25.f98.ymdb.bf1.yahoo.com 98.139.200.216
a26.f10.ymdb.gq1.yahoo.com 98.139.112.46
a26.f12.ymdb.gq1.yahoo.com 98.139.114.89
a26.f63.ymdb.gq1.yahoo.com 208.71.40.121
a26.f98.ymdb.bf1.yahoo.com 98.139.200.217
a27.f10.ymdb.gq1.yahoo.com 98.139.112.75
a27.f12.ymdb.gq1.yahoo.com 98.139.114.90
a27.f63.ymdb.gq1.yahoo.com 208.71.40.122
a27.f98.ymdb.bf1.yahoo.com 98.139.200.218
a28.f10.ymdb.gq1.yahoo.com 98.139.112.87
a28.f12.ymdb.gq1.yahoo.com 98.139.114.91
a28.f13.ymdb.bf1.yahoo.com 98.139.205.219
a28.f63.ymdb.gq1.yahoo.com 208.71.40.123
a28.f98.ymdb.bf1.yahoo.com 98.139.200.219
a29.f10.ymdb.gq1.yahoo.com 98.139.112.88
a29.f11.ymdb.bf1.yahoo.com 98.139.197.124
a29.f12.ymdb.gq1.yahoo.com 98.139.114.92
a29.f13.ymdb.bf1.yahoo.com 98.139.205.220
a29.f63.ymdb.gq1.yahoo.com 208.71.40.124
a29.f98.ymdb.bf1.yahoo.com 98.139.200.220
a3-new.dns.dax.yahoo.com 216.115.99.106
a3-read.grp.vip.bf1.yahoo.com 98.139.235.27
a3.dns.ams.yahoo.com 66.196.64.148
a3.dns.dax.yahoo.com 216.115.99.104
a3.dns.dce.yahoo.com 66.196.68.17
a3.dns.dcz.yahoo.com 216.115.104.174
a3.dns.dez.yahoo.com 66.196.66.42
a3.dns.hkz.yahoo.com 183.177.76.177
a3.dns.iny.yahoo.com 27.123.42.179
a3.f10.ymdb.gq1.yahoo.com 98.139.112.103
a3.f11.ymdb.bf1.yahoo.com 98.139.197.98
a3.f12.ymdb.gq1.yahoo.com 98.139.114.66
a3.f98.ymdb.bf1.yahoo.com 98.139.200.194
a3.m30.ymdb.in.yahoo.com 180.222.116.242
a30.f10.ymdb.gq1.yahoo.com 98.139.112.78
a30.f11.ymdb.bf1.yahoo.com 98.139.197.125
a30.f12.ymdb.gq1.yahoo.com 98.139.114.93
a30.f13.ymdb.bf1.yahoo.com 98.139.205.221
a30.f63.ymdb.gq1.yahoo.com 208.71.40.125
a30.f98.ymdb.bf1.yahoo.com 98.139.200.221
a31.f10.ymdb.gq1.yahoo.com 98.139.112.69
a31.f11.ymdb.bf1.yahoo.com 98.139.197.126
a31.f12.ymdb.gq1.yahoo.com 98.139.114.94
a31.f13.ymdb.bf1.yahoo.com 98.139.205.222
a31.f63.ymdb.gq1.yahoo.com 208.71.40.126
a31.f98.ymdb.bf1.yahoo.com 98.139.200.222
a32.f10.ymdb.gq1.yahoo.com 98.139.112.116
a32.f11.ymdb.bf1.yahoo.com 98.139.197.127
a32.f12.ymdb.gq1.yahoo.com 98.139.114.95
a32.f13.ymdb.bf1.yahoo.com 98.139.205.223
a32.f63.ymdb.gq1.yahoo.com 208.71.40.127
a32.f98.ymdb.bf1.yahoo.com 98.139.200.223
a33.f12.ymdb.gq1.yahoo.com 98.139.114.96
a33.f13.ymdb.bf1.yahoo.com 98.139.205.224
a33.f98.ymdb.bf1.yahoo.com 98.139.200.224
a34.f12.ymdb.gq1.yahoo.com 98.139.114.97
a34.f13.ymdb.bf1.yahoo.com 98.139.205.225
a34.f63.ymdb.gq1.yahoo.com 208.71.40.81
a34.f98.ymdb.bf1.yahoo.com 98.139.200.225
a35.f12.ymdb.gq1.yahoo.com 98.139.114.98
a35.f63.ymdb.gq1.yahoo.com 208.71.40.82
a35.f98.ymdb.bf1.yahoo.com 98.139.200.226
a36.f12.ymdb.gq1.yahoo.com 98.139.114.99
a36.f13.ymdb.bf1.yahoo.com 98.139.205.227
a36.f63.ymdb.gq1.yahoo.com 208.71.40.83
a36.f98.ymdb.bf1.yahoo.com 98.139.200.227
a37.f12.ymdb.gq1.yahoo.com 98.139.114.100
a37.f13.ymdb.bf1.yahoo.com 98.139.205.228
a37.f98.ymdb.bf1.yahoo.com 98.139.200.252
a38.f12.ymdb.gq1.yahoo.com 98.139.114.101
a38.f13.ymdb.bf1.yahoo.com 98.139.205.229
a38.f98.ymdb.bf1.yahoo.com 98.139.200.253
a39.f12.ymdb.gq1.yahoo.com 98.139.114.102
a39.f13.ymdb.bf1.yahoo.com 98.139.205.230
a39.f98.ymdb.bf1.yahoo.com 98.139.200.254
a4.dns.ams.yahoo.com 66.196.64.151
a4.dns.dce.yahoo.com 216.115.99.136
a4.dns.dcz.yahoo.com 216.115.104.175
a4.dns.dez.yahoo.com 66.196.66.48
a4.dns.hkz.yahoo.com 183.177.76.183
a4.dns.iny.yahoo.com 27.123.42.180
a4.f10.ymdb.gq1.yahoo.com 98.139.112.60
a4.f11.ymdb.bf1.yahoo.com 98.139.197.99
a4.f12.ymdb.gq1.yahoo.com 98.139.114.67
a4.f63.ymdb.gq1.yahoo.com 208.71.40.99
a4.f98.ymdb.bf1.yahoo.com 98.139.200.195
a4.m30.ymdb.in.yahoo.com 180.222.116.243
a40.f12.ymdb.gq1.yahoo.com 98.139.114.103
a40.f13.ymdb.bf1.yahoo.com 98.139.205.231
a40.f98.ymdb.bf1.yahoo.com 98.139.200.251
a41.f12.ymdb.gq1.yahoo.com 98.139.114.104
a41.f13.ymdb.bf1.yahoo.com 98.139.205.232
a42.f12.ymdb.gq1.yahoo.com 98.139.114.105
a42.f13.ymdb.bf1.yahoo.com 98.139.205.233
a43.f12.ymdb.gq1.yahoo.com 98.139.114.106
a43.f13.ymdb.bf1.yahoo.com 98.139.205.234
a43.f51.ymdb.a4e.yahoo.com 98.137.82.228
a44.f12.ymdb.gq1.yahoo.com 98.139.114.107
a44.f51.ymdb.a4e.yahoo.com 98.137.82.229
a45.f12.ymdb.gq1.yahoo.com 98.139.114.108
a45.f13.ymdb.bf1.yahoo.com 98.139.205.236
a46.f12.ymdb.gq1.yahoo.com 98.139.114.109
a46.f13.ymdb.bf1.yahoo.com 98.139.205.237
a47.f13.ymdb.bf1.yahoo.com 98.139.205.238
a48.f12.ymdb.gq1.yahoo.com 98.139.114.111
a48.f13.ymdb.bf1.yahoo.com 98.139.205.239
a5.dns.ams.yahoo.com 66.196.64.150
a5.dns.dez.yahoo.com 66.196.66.49
a5.dns.hkz.yahoo.com 183.177.78.135
a5.dns.iny.yahoo.com 27.123.42.181
a5.f10.ymdb.gq1.yahoo.com 98.139.112.105
a5.f11.ymdb.bf1.yahoo.com 98.139.197.100
a5.f12.ymdb.gq1.yahoo.com 98.139.114.68
a5.f63.ymdb.gq1.yahoo.com 208.71.40.100
a5.f98.ymdb.bf1.yahoo.com 98.139.200.196
a5.m30.ymdb.in.yahoo.com 180.222.116.244
a5.yahoo.com 204.71.200.45
a6.dns.dez.yahoo.com 66.196.66.50
a6.dns.hkz.yahoo.com 183.177.78.134
a6.dns.iny.yahoo.com 27.123.42.182
a6.f10.ymdb.gq1.yahoo.com 98.139.112.58
a6.f11.ymdb.bf1.yahoo.com 98.139.197.101
a6.f63.ymdb.gq1.yahoo.com 208.71.40.101
a6.f98.ymdb.bf1.yahoo.com 98.139.200.197
a6.m30.ymdb.in.yahoo.com 180.222.116.245
a7.dns.iny.yahoo.com 27.123.42.183
a7.f10.ymdb.gq1.yahoo.com 98.139.112.106
a7.f11.ymdb.bf1.yahoo.com 98.139.197.102
a7.f12.ymdb.gq1.yahoo.com 98.139.114.70
a7.f63.ymdb.gq1.yahoo.com 208.71.40.102
a7.f98.ymdb.bf1.yahoo.com 98.139.200.198
a7.m30.ymdb.in.yahoo.com 180.222.116.246
a8.dns.iny.yahoo.com 27.123.42.189
a8.f10.ymdb.gq1.yahoo.com 98.139.112.115
a8.f11.ymdb.bf1.yahoo.com 98.139.197.103
a8.f12.ymdb.gq1.yahoo.com 98.139.114.71
a8.f63.ymdb.gq1.yahoo.com 208.71.40.103
a8.f98.ymdb.bf1.yahoo.com 98.139.200.199
a8.m30.ymdb.in.yahoo.com 180.222.116.247
a9.dns.iny.yahoo.com 27.123.42.188
a9.f11.ymdb.bf1.yahoo.com 98.139.197.104
a9.f12.ymdb.gq1.yahoo.com 98.139.114.72
a9.f63.ymdb.gq1.yahoo.com 208.71.40.104
a9.f98.ymdb.bf1.yahoo.com 98.139.200.200
a9.m30.ymdb.in.yahoo.com 180.222.116.248
aa-clientd-vm1.fin.corp.gq1.yahoo.com 69.147.102.144
aa-clientd-vm10.fin.corp.gq1.yahoo.com 69.147.102.153
aa-clientd-vm11.fin.corp.gq1.yahoo.com 69.147.102.154
aa-clientd-vm12.fin.corp.gq1.yahoo.com 69.147.102.155
aa-clientd-vm13.fin.corp.gq1.yahoo.com 69.147.102.156
aa-clientd-vm14.fin.corp.gq1.yahoo.com 69.147.102.157
aa-clientd-vm15.fin.corp.gq1.yahoo.com 69.147.102.158
aa-clientd-vm16.fin.corp.gq1.yahoo.com 69.147.102.159
aa-clientd-vm17.fin.corp.gq1.yahoo.com 69.147.102.160
aa-clientd-vm18.fin.corp.gq1.yahoo.com 69.147.102.161
aa-clientd-vm19.fin.corp.gq1.yahoo.com 69.147.102.162
aa-clientd-vm2.fin.corp.gq1.yahoo.com 69.147.102.145
aa-clientd-vm20.fin.corp.gq1.yahoo.com 69.147.102.163
aa-clientd-vm21.fin.corp.gq1.yahoo.com 69.147.102.164
aa-clientd-vm22.fin.corp.gq1.yahoo.com 69.147.102.165
aa-clientd-vm23.fin.corp.gq1.yahoo.com 69.147.102.166
aa-clientd-vm24.fin.corp.gq1.yahoo.com 69.147.102.167
aa-clientd-vm25.fin.corp.gq1.yahoo.com 69.147.102.168
aa-clientd-vm26.fin.corp.gq1.yahoo.com 69.147.102.169
aa-clientd-vm27.fin.corp.gq1.yahoo.com 69.147.102.170
aa-clientd-vm28.fin.corp.gq1.yahoo.com 69.147.102.171
aa-clientd-vm3.fin.corp.gq1.yahoo.com 69.147.102.146
aa-clientd-vm4.fin.corp.gq1.yahoo.com 69.147.102.147
aa-clientd-vm5.fin.corp.gq1.yahoo.com 69.147.102.148
aa-clientd-vm6.fin.corp.gq1.yahoo.com 69.147.102.149
aa-clientd-vm7.fin.corp.gq1.yahoo.com 69.147.102.150
aa-clientd-vm8.fin.corp.gq1.yahoo.com 69.147.102.151
aa-clientd-vm9.fin.corp.gq1.yahoo.com 69.147.102.152
aa-clientp-vm1.fin.corp.gq1.yahoo.com 98.137.37.32
aa-clientp-vm10.fin.corp.gq1.yahoo.com 98.137.37.41
aa-clientp-vm11.fin.corp.gq1.yahoo.com 98.137.37.42
aa-clientp-vm12.fin.corp.gq1.yahoo.com 98.137.37.43
aa-clientp-vm13.fin.corp.gq1.yahoo.com 98.137.37.44
aa-clientp-vm14.fin.corp.gq1.yahoo.com 98.137.37.45
aa-clientp-vm15.fin.corp.gq1.yahoo.com 98.137.37.46
aa-clientp-vm17.fin.corp.gq1.yahoo.com 98.137.37.185
aa-clientp-vm18.fin.corp.gq1.yahoo.com 98.137.37.186
aa-clientp-vm19.fin.corp.gq1.yahoo.com 98.137.37.187
aa-clientp-vm20.fin.corp.gq1.yahoo.com 98.137.37.188
aa-clientp-vm21.fin.corp.gq1.yahoo.com 98.137.37.189
aa-clientp-vm22.fin.corp.gq1.yahoo.com 98.137.37.190
aa-clientp-vm23.fin.corp.gq1.yahoo.com 98.137.37.191
aa-clientp-vm24.fin.corp.gq1.yahoo.com 98.137.37.178
aa-clientp-vm25.fin.corp.gq1.yahoo.com 98.137.37.179
aa-clientp-vm3.fin.corp.gq1.yahoo.com 98.137.37.34
aa-clientp-vm4.fin.corp.gq1.yahoo.com 98.137.37.35
aa-clientp-vm5.fin.corp.gq1.yahoo.com 98.137.37.36
aa-clientp-vm6.fin.corp.gq1.yahoo.com 98.137.37.37
aa-clientp-vm7.fin.corp.gq1.yahoo.com 98.137.37.38
aa-clientp-vm8.fin.corp.gq1.yahoo.com 98.137.37.39
aa-clientp-vm9.fin.corp.gq1.yahoo.com 98.137.37.40
aa-clpb-vm10.fin.corp.bf1.yahoo.com 67.195.218.33
aa-clpb-vm2.fin.corp.bf1.yahoo.com 67.195.218.25
aa-clpb-vm3.fin.corp.bf1.yahoo.com 67.195.218.26
aa-clpb-vm4.fin.corp.bf1.yahoo.com 67.195.218.27
aa-clpb-vm5.fin.corp.bf1.yahoo.com 67.195.218.28
aa-clpb-vm6.fin.corp.bf1.yahoo.com 67.195.218.29
aa-clpb-vm7.fin.corp.bf1.yahoo.com 67.195.218.30
aa-clpb-vm8.fin.corp.bf1.yahoo.com 67.195.218.31
aa-clpb-vm9.fin.corp.bf1.yahoo.com 67.195.218.32
aa-controld-vm1.fin.corp.gq1.yahoo.com 69.147.102.174
aa-controld-vm2.fin.corp.gq1.yahoo.com 69.147.102.175
aa-controlp-vm1.fin.corp.gq1.yahoo.com 98.137.37.26
aa-controlp-vm2.fin.corp.gq1.yahoo.com 98.137.37.27
aa-ctrlpb-vm1.fin.corp.bf1.yahoo.com 67.195.218.34
aa-ctrlpb-vm2.fin.corp.bf1.yahoo.com 67.195.218.35
aa-mg4.mail.yahoo.com 87.248.116.11,87.248.116.12
aa-mg5.mail.yahoo.com 87.248.116.11,87.248.116.12
aa-mg6.mail.yahoo.com 87.248.116.11,87.248.116.12
aa-mg61.mail.yahoo.com 87.248.116.11,87.248.116.12
aa-sqld-vm1.fin.corp.gq1.yahoo.com 69.147.102.172
aa-sqld-vm2.fin.corp.gq1.yahoo.com 69.147.102.173
aa-sqlp-vm1.fin.corp.gq1.yahoo.com 98.137.37.24
aa-sqlp-vm2.fin.corp.gq1.yahoo.com 98.137.37.25
aa-sqlpb-vm1.fin.corp.bf1.yahoo.com 67.195.218.36
aa.address.mail.yahoo.com 87.248.100.136,87.248.100.137
aa.address.yahoo.com 87.248.100.136,87.248.100.137
aa.antispam.yahoo.com 87.248.100.136,87.248.100.137
aa.chat.yahoo.com 212.82.100.137
aaa1-1-a-gci.corp.yahoo.com 216.145.50.84
aaa1-2-a-gci.corp.yahoo.com 216.145.50.87
aahost2.stg.test.corp.yahoo.com 98.137.139.83
aahost3.stg.test.corp.yahoo.com 98.137.139.84
aahost4.stg.test.corp.yahoo.com 98.137.139.85
aape01.stg.test.corp.yahoo.com 98.137.139.93
aasqldev.fin.corp.gq1.yahoo.com 69.147.102.176
aasqlprod.fin.corp.gq1.yahoo.com 98.137.37.176
aavm1.stg.test.corp.yahoo.com 98.137.139.87
aavm2.stg.test.corp.yahoo.com 98.137.139.88
aavm3.stg.test.corp.yahoo.com 98.137.139.89
aavm4.stg.test.corp.yahoo.com 98.137.139.90
aavm5.stg.test.corp.yahoo.com 98.137.139.91
aavm6.stg.test.corp.yahoo.com 98.137.139.92
abcnews.yahoo.com 13.248.158.7,76.223.84.192
about.yahoo.com 13.248.158.7,76.223.84.192
absnd.login.yahoo.com 67.195.7.13
abumedia.yql.yahoo.com 87.248.100.201
abuse-data.corp.yahoo.com 66.228.160.202
abuse.yahoo.com 13.248.158.7,76.223.84.192
abuseapi.grp.vip.bf1.yahoo.com 98.139.239.165
abuseapi3.grp.vip.bf1.yahoo.com 98.139.235.31
abusedb-read.grp.vip.bf1.yahoo.com 98.139.239.166
abusedb-read3.grp.vip.bf1.yahoo.com 98.139.235.37
ac.mail.vip.in.yahoo.com 180.222.118.59
